date,totalLoan,kospiLoan,kosdaqLoan
1998-07-01,253685,253685,0
1998-07-02,249702,249702,0
1998-07-03,247065,247065,0
1998-07-04,241267,241267,0
1998-07-07,235740,235740,0
1998-07-08,232993,232993,0
1998-07-09,232738,232738,0
1998-07-10,229995,229995,0
1998-07-11,228745,228745,0
1998-07-14,224999,224999,0
1998-07-15,223035,223035,0
1998-07-16,222873,222873,0
1998-07-18,223345,223345,0
1998-07-20,221723,221723,0
1998-07-21,221440,221440,0
1998-07-22,220764,220764,0
1998-07-23,223015,223015,0
1998-07-24,227343,227343,0
1998-07-25,227876,227876,0
1998-07-28,230531,230531,0
1998-07-29,232243,232243,0
1998-07-30,231741,231741,0
1998-07-31,232137,232137,0
1998-08-01,232864,232864,0
1998-08-03,234064,234064,0
1998-08-04,234988,234988,0
1998-08-05,234176,234176,0
1998-08-06,234003,234003,0
1998-08-07,231201,231201,0
1998-08-08,231461,231461,0
1998-08-10,231447,231447,0
1998-08-11,228397,228397,0
1998-08-12,227118,227118,0
1998-08-13,226496,226496,0
1998-08-14,224776,224776,0
1998-08-17,223462,223462,0
1998-08-18,222231,222231,0
1998-08-19,220015,220015,0
1998-08-20,216153,216153,0
1998-08-21,216121,216121,0
1998-08-22,217944,217944,0
1998-08-24,217523,217523,0
1998-08-25,218281,218281,0
1998-08-26,217932,217932,0
1998-08-27,216524,216524,0
1998-08-28,216557,216557,0
1998-08-29,217003,217003,0
1998-08-31,218558,218558,0
1998-09-01,219548,219548,0
1998-09-02,220860,220860,0
1998-09-03,221198,221198,0
1998-09-04,221998,221998,0
1998-09-05,222315,222315,0
1998-09-07,221256,221256,0
1998-09-08,222160,222160,0
1998-09-09,224804,224804,0
1998-09-11,222700,222700,0
1998-09-12,221287,221287,0
1998-09-14,223416,223416,0
1998-09-15,224512,224512,0
1998-09-16,226728,226728,0
1998-09-17,226572,226572,0
1998-09-18,226710,226710,0
1998-09-19,227394,227394,0
1998-09-21,226758,226758,0
1998-09-22,228190,228190,0
1998-09-23,228670,228670,0
1998-09-24,225790,225790,0
1998-09-25,224149,224149,0
1998-09-26,223305,223305,0
1998-09-28,222412,222412,0
1998-09-29,221244,221244,0
1998-09-30,220669,220669,0
1998-10-01,220217,220217,0
1998-10-02,219730,219730,0
1998-10-07,219698,219698,0
1998-10-08,222308,222308,0
1998-10-09,223034,223034,0
1998-10-10,222584,222584,0
1998-10-12,221687,221687,0
1998-10-13,219847,219847,0
1998-10-14,221783,221783,0
1998-10-15,221623,221623,0
1998-10-16,224631,224631,0
1998-10-17,228710,228710,0
1998-10-19,222215,222215,0
1998-10-20,223429,223429,0
1998-10-21,228466,228466,0
1998-10-22,231671,231671,0
1998-10-23,231538,231538,0
1998-10-24,231118,231118,0
1998-10-26,233325,233325,0
1998-10-27,235698,235698,0
1998-10-28,238929,238929,0
1998-10-29,242758,242758,0
1998-10-30,245379,245379,0
1998-10-31,246188,246188,0
1998-11-02,245158,245158,0
1998-11-03,245102,245102,0
1998-11-04,246188,246188,0
1998-11-05,245481,245481,0
1998-11-06,251103,251103,0
1998-11-07,252253,252253,0
1998-11-09,253548,253548,0
1998-11-10,258431,258431,0
1998-11-11,267682,267682,0
1998-11-12,267414,267414,0
1998-11-13,272151,272151,0
1998-11-14,275962,275962,0
1998-11-16,279283,279283,0
1998-11-17,285518,285518,0
1998-11-18,291221,291221,0
1998-11-19,293493,293493,0
1998-11-20,297493,297493,0
1998-11-21,305215,305215,0
1998-11-23,304795,304795,0
1998-11-24,308624,308624,0
1998-11-25,319124,319124,0
1998-11-26,320132,320132,0
1998-11-27,324750,324750,0
1998-11-28,328138,328138,0
1998-11-30,334711,334711,0
1998-12-01,344204,344204,0
1998-12-02,349233,349233,0
1998-12-03,350260,350260,0
1998-12-04,357911,357911,0
1998-12-05,364421,364421,0
1998-12-07,369359,369359,0
1998-12-08,372932,372932,0
1998-12-09,370718,370718,0
1998-12-10,367325,367325,0
1998-12-11,372018,372018,0
1998-12-12,371880,371880,0
1998-12-14,394106,394106,0
1998-12-15,404457,404457,0
1998-12-16,420279,420279,0
1998-12-17,438417,438417,0
1998-12-18,437668,437668,0
1998-12-19,437506,437506,0
1998-12-21,437372,437372,0
1998-12-22,444252,444252,0
1998-12-23,456985,456985,0
1998-12-24,450447,450447,0
1998-12-26,450257,450257,0
1998-12-28,446087,446087,0
1998-12-29,456886,456886,0
1998-12-30,467704,467704,0
1999-01-02,467245,467245,0
1999-01-05,466299,466299,0
1999-01-06,475613,475613,0
1999-01-07,463782,463782,0
1999-01-08,466398,466398,0
1999-01-09,466247,466247,0
1999-01-11,463617,463617,0
1999-01-12,465887,465887,0
1999-01-13,474607,474607,0
1999-01-14,473643,473643,0
1999-01-15,473466,473466,0
1999-01-16,478196,478196,0
1999-01-18,484120,484120,0
1999-01-19,493136,493136,0
1999-01-20,497241,497241,0
1999-01-21,493196,493196,0
1999-01-22,489891,489891,0
1999-01-23,489771,489771,0
1999-01-25,496931,496931,0
1999-01-26,491941,491941,0
1999-01-27,495346,495346,0
1999-01-28,491104,491104,0
1999-01-29,494777,494777,0
1999-01-30,494576,494576,0
1999-02-01,500762,500762,0
1999-02-02,502909,502909,0
1999-02-03,507053,507053,0
1999-02-04,503292,503292,0
1999-02-05,503066,503066,0
1999-02-06,502897,502897,0
1999-02-08,502687,502687,0
1999-02-09,506596,506596,0
1999-02-10,508093,508093,0
1999-02-11,505983,505983,0
1999-02-12,511285,511285,0
1999-02-13,510992,510992,0
1999-02-18,513464,513464,0
1999-02-19,520942,520942,0
1999-02-20,520860,520860,0
1999-02-22,519870,519870,0
1999-02-23,516366,516366,0
1999-02-24,515212,515212,0
1999-02-25,511026,511026,0
1999-02-26,506321,506321,0
1999-02-27,506058,506058,0
1999-03-02,500090,500090,0
1999-03-03,501383,501383,0
1999-03-04,498289,498289,0
1999-03-05,497505,497505,0
1999-03-06,497287,497287,0
1999-03-08,501889,501889,0
1999-03-10,513558,513558,0
1999-03-11,511914,511914,0
1999-03-12,514357,514357,0
1999-03-13,513961,513961,0
1999-03-15,526392,526392,0
1999-03-16,523215,523215,0
1999-03-17,517189,517189,0
1999-03-18,520603,520603,0
1999-03-19,532408,532408,0
1999-03-20,532234,532234,0
1999-03-22,523872,523872,0
1999-03-23,531253,531253,0
1999-03-24,541406,541406,0
1999-03-25,545950,545950,0
1999-03-26,555743,555743,0
1999-03-27,555572,555572,0
1999-03-29,559592,559592,0
1999-03-30,561785,561785,0
1999-03-31,566297,566297,0
1999-04-01,572911,572911,0
