date,kospiMarketCap,kosdaqMarketCap
2001-01-02,1912529,305146
2001-01-03,1913632,312850
2001-01-04,2040742,336850
2001-01-05,2120892,341781
2001-01-08,2142313,355028
2001-01-09,2153550,370342
2001-01-10,2051043,350224
2001-01-11,2055613,371425
2001-01-12,2147420,391881
2001-01-15,2179435,419338
2001-01-16,2193501,426458
2001-01-17,2165687,413446
2001-01-18,2193671,413766
2001-01-19,2248228,427905
2001-01-22,2276851,460813
2001-01-26,2154977,442900
2001-01-29,2172073,451523
2001-01-30,2154443,459431
2001-01-31,2246095,467465
2001-02-01,2227477,459536
2001-02-02,2221827,459143
2001-02-05,2119263,434537
2001-02-06,2143114,441314
2001-02-07,2105792,431001
2001-02-08,2159026,441936
2001-02-09,2172825,447106
2001-02-12,2186416,460172
2001-02-13,2183686,465978
2001-02-14,2201156,472754
2001-02-15,2199270,483748
2001-02-16,2203149,478255
2001-02-19,2174070,483459
2001-02-20,2215104,485149
2001-02-21,2164523,472491
2001-02-22,2126060,445645
2001-02-23,2128837,448141
2001-02-26,2134882,452475
2001-02-27,2108686,434565
2001-02-28,2111521,427350
2001-03-02,2047060,401543
2001-03-05,2067394,414535
2001-03-06,2078110,408483
2001-03-07,2077636,418466
2001-03-08,2115575,432729
2001-03-09,2068916,424972
2001-03-12,1994264,402761
2001-03-13,1933831,382192
2001-03-14,1985865,400842
2001-03-15,1980171,396513
2001-03-16,1969736,397306
2001-03-19,1954792,396889
2001-03-20,1945048,396916
2001-03-21,1948242,396411
2001-03-22,1927969,393090
2001-03-23,1965801,392944
2001-03-26,1993932,404480
2001-03-27,1948730,399560
2001-03-28,1934258,392818
2001-03-29,1916314,385696
2001-03-30,1909440,381921
2001-04-02,1882368,383680
2001-04-03,1841234,372372
2001-04-04,1808580,362413
2001-04-06,1852291,374500
2001-04-09,1822589,366157
2001-04-10,1800406,365686
2001-04-11,1858308,380397
2001-04-12,1879887,386654
2001-04-13,1887404,388060
2001-04-16,1861342,385176
2001-04-17,1881862,386966
2001-04-18,1971859,408339
2001-04-19,2052000,422981
2001-04-20,2028676,415582
2001-04-23,2044702,428575
2001-04-24,2026921,427539
2001-04-25,2067998,434251
2001-04-26,2052110,431359
2001-04-27,2036712,426106
2001-04-30,2109205,445883
2001-05-02,2132830,458311
2001-05-03,2136736,453327
2001-05-04,2142430,455845
2001-05-07,2179886,468678
2001-05-08,2160131,466139
2001-05-09,2117415,451741
2001-05-10,2127232,463084
2001-05-11,2134408,465053
2001-05-14,2137374,471701
2001-05-15,2128390,463984
2001-05-16,2097573,456626
2001-05-17,2181852,475271
2001-05-18,2197790,473820
2001-05-21,2263848,478748
2001-05-22,2259877,481401
2001-05-23,2276004,477144
2001-05-24,2276134,479395
2001-05-25,2284029,482842
2001-05-28,2263399,482260
2001-05-29,2310125,488391
2001-05-31,2241946,474410
2001-06-01,2223235,467545
2001-06-04,2236587,468902
2001-06-05,2191298,460803
2001-06-07,2201613,456540
2001-06-08,2274427,471303
2001-06-11,2226953,465053
2001-06-12,2223215,469370
2001-06-13,2247646,477974
2001-06-14,2247261,481606
2001-06-15,2266118,483533
2001-06-18,2230075,479340
2001-06-19,2230378,473712
2001-06-20,2184148,461477
2001-06-21,2183577,463127
2001-06-22,2197365,461964
2001-06-25,2193329,457018
2001-06-26,2160485,440065
2001-06-27,2161689,440385
2001-06-28,2156867,441576
2001-06-29,2199526,453599
2001-07-02,2206155,457270
2001-07-03,2197401,458404
2001-07-04,2207877,457358
2001-07-05,2195324,453233
2001-07-06,2142501,438329
2001-07-09,2077038,415663
2001-07-10,2065962,421074
2001-07-11,2047681,406179
2001-07-12,2081699,429813
2001-07-13,2043526,414951
2001-07-16,2045719,418229
2001-07-18,2020442,406352
2001-07-19,2037654,408344
2001-07-20,2009577,402098
2001-07-23,1960943,385450
2001-07-24,1969677,388431
2001-07-25,1966708,385837
2001-07-26,1978560,393451
2001-07-27,2021059,406319
2001-07-30,1993290,403632
2001-07-31,2023762,412450
2001-08-01,2099191,426064
2001-08-02,2117056,429572
2001-08-03,2120694,429211
2001-08-06,2123147,437462
2001-08-07,2117764,436749
2001-08-08,2112307,432745
2001-08-09,2054593,422969
2001-08-10,2075022,424723
2001-08-13,2098358,423300
2001-08-14,2153594,424136
2001-08-16,2168187,419587
2001-08-17,2168183,420358
2001-08-20,2118449,413612
2001-08-21,2124944,415852
2001-08-22,2146275,418794
2001-08-23,2094955,414953
2001-08-24,2092226,414009
2001-08-27,2126150,416751
2001-08-28,2118095,414466
2001-08-29,2078536,402238
2001-08-30,2074023,399294
2001-08-31,2005517,381629
2001-09-03,1994647,379848
2001-09-04,2054938,388334
2001-09-05,2030742,382943
2001-09-06,2031109,389431
2001-09-07,2038957,391959
2001-09-10,1995431,389291
2001-09-11,1959235,383959
2001-09-12,1724946,341312
2001-09-13,1810590,341877
2001-09-14,1748839,318649
2001-09-17,1699843,293702
2001-09-18,1758563,314808
2001-09-19,1765961,321072
2001-09-20,1745168,314828
2001-09-21,1718261,311682
2001-09-24,1753157,318195
2001-09-25,1717178,309423
2001-09-26,1720045,311127
2001-09-27,1718273,316234
2001-09-28,1745264,328297
2001-10-04,1820759,349872
2001-10-05,1826582,343682
2001-10-08,1805713,340142
2001-10-09,1847193,355935
2001-10-10,1832669,358453
2001-10-11,1881391,372194
2001-10-12,1879586,376925
2001-10-15,1871340,380096
2001-10-16,1902166,388200
2001-10-17,1924773,395763
2001-10-18,1910298,392493
2001-10-19,1923651,397641
2001-10-22,1926402,406148
2001-10-23,1932640,404589
2001-10-24,1971194,411307
2001-10-25,1974034,436438
2001-10-26,1978947,442514
2001-10-29,1994891,446297
2001-10-30,1945112,432593
2001-10-31,1960035,437080
2001-11-01,1982134,444971
2001-11-02,2005050,445005
2001-11-05,2044998,455242
2001-11-06,2058161,459015
2001-11-07,2045495,457861
2001-11-08,2085732,464705
2001-11-09,2119962,467131
2001-11-12,2148316,474380
2001-11-13,2163653,472087
2001-11-14,2227343,479867
2001-11-15,2227686,477443
2001-11-16,2244320,478780
2001-11-19,2300603,482733
2001-11-20,2264069,480004
2001-11-21,2261580,480901
2001-11-22,2294720,485517
2001-11-23,2374734,492201
2001-11-26,2483017,502028
2001-11-27,2466419,500909
2001-11-28,2326523,471691
2001-11-29,2317894,480539
2001-11-30,2371638,490724
2001-12-03,2396726,496713
2001-12-04,2393050,496444
2001-12-05,2530608,504017
2001-12-06,2522126,503154
2001-12-07,2588023,509295
2001-12-10,2459090,508618
2001-12-11,2465026,507092
2001-12-12,2504608,523456
2001-12-13,2488253,529667
2001-12-14,2448571,520982
2001-12-17,2387662,504456
2001-12-18,2369921,496941
2001-12-19,2380722,484110
2001-12-20,2446431,502379
2001-12-21,2390499,492246
2001-12-24,2395382,491747
2001-12-26,2425698,493195
2001-12-27,2464882,497931
2001-12-28,2557963,518181
2002-01-02,2676425,534182
2002-01-03,2687200,534405
2002-01-04,2759523,542263
2002-01-07,2773558,547093
2002-01-08,2713209,542781
2002-01-09,2777596,552296
2002-01-10,2693499,560620
2002-01-11,2688408,551762
2002-01-14,2747606,552509
2002-01-15,2655391,542242
2002-01-16,2629268,540083
2002-01-17,2639370,538048
2002-01-18,2621364,535984
2002-01-21,2655092,543448
2002-01-22,2680726,551241
2002-01-23,2748348,559416
2002-01-24,2814966,560425
2002-01-25,2877564,571903
