Date,Open,High,Low,Close,Volume,SMA_5,SMA_10,SMA_20,SMA_60
2010-06-29,1.27,1.67,1.17,1.59,281494500,,,,
2010-06-30,1.72,2.03,1.55,1.59,257806500,,,,
2010-07-01,1.67,1.73,1.35,1.46,123282000,,,,
2010-07-02,1.53,1.54,1.25,1.28,77097000,,,,
2010-07-06,1.33,1.33,1.06,1.07,103003500,1.4,,,
2010-07-07,1.09,1.11,1,1.05,103825500,1.29,,,
2010-07-08,1.08,1.17,1.04,1.16,115671000,1.21,,,
2010-07-09,1.17,1.19,1.1,1.16,60759000,1.15,,,
2010-07-12,1.2,1.2,1.13,1.14,33037500,1.12,,,
2010-07-13,1.16,1.24,1.13,1.21,40201500,1.14,1.27,,
2010-07-14,1.2,1.34,1.18,1.32,62928000,1.2,1.25,,
2010-07-15,1.33,1.43,1.27,1.33,56097000,1.23,1.22,,
2010-07-16,1.38,1.42,1.34,1.38,39319500,1.27,1.21,,
2010-07-19,1.42,1.48,1.39,1.46,37297500,1.34,1.23,,
2010-07-20,1.46,1.46,1.34,1.35,27379500,1.37,1.26,,
2010-07-21,1.38,1.39,1.3,1.35,18787500,1.37,1.29,,
2010-07-22,1.37,1.42,1.36,1.4,14367000,1.39,1.31,,
2010-07-23,1.41,1.44,1.4,1.42,9804000,1.4,1.34,,
2010-07-26,1.43,1.43,1.35,1.4,13833000,1.38,1.36,,
2010-07-27,1.39,1.41,1.35,1.37,9295500,1.39,1.38,1.32,
2010-07-28,1.37,1.39,1.37,1.38,7008000,1.39,1.38,1.31,
2010-07-29,1.38,1.39,1.33,1.36,9240000,1.38,1.39,1.3,
2010-07-30,1.35,1.36,1.3,1.33,6403500,1.37,1.38,1.3,
2010-08-02,1.37,1.4,1.36,1.39,10771500,1.37,1.37,1.3,
2010-08-03,1.4,1.46,1.39,1.46,18457500,1.39,1.39,1.32,
2010-08-04,1.46,1.48,1.39,1.42,13695000,1.39,1.39,1.34,
2010-08-05,1.44,1.44,1.34,1.36,11943000,1.39,1.39,1.35,
2010-08-06,1.34,1.34,1.3,1.31,11128500,1.39,1.38,1.36,
2010-08-09,1.33,1.33,1.3,1.31,12190500,1.37,1.37,1.37,
2010-08-10,1.31,1.31,1.25,1.27,19219500,1.33,1.36,1.37,
2010-08-11,1.25,1.26,1.19,1.19,11964000,1.29,1.34,1.36,
2010-08-12,1.19,1.19,1.16,1.17,10365000,1.25,1.32,1.35,
2010-08-13,1.21,1.23,1.18,1.22,9510000,1.23,1.31,1.35,
2010-08-16,1.23,1.25,1.22,1.25,7287000,1.22,1.3,1.34,
2010-08-17,1.26,1.29,1.25,1.28,6718500,1.22,1.28,1.33,
2010-08-18,1.31,1.31,1.24,1.25,9019500,1.23,1.26,1.33,
2010-08-19,1.24,1.28,1.22,1.25,8686500,1.25,1.25,1.32,
2010-08-20,1.24,1.27,1.23,1.27,4440000,1.26,1.25,1.31,
2010-08-23,1.27,1.36,1.27,1.34,16321500,1.28,1.25,1.31,
2010-08-24,1.28,1.31,1.26,1.28,10096500,1.28,1.25,1.31,
2010-08-25,1.28,1.33,1.24,1.33,7549500,1.29,1.26,1.3,
2010-08-26,1.33,1.35,1.31,1.32,6507000,1.31,1.28,1.3,
2010-08-27,1.32,1.32,1.3,1.31,5694000,1.32,1.29,1.3,
2010-08-30,1.31,1.35,1.31,1.32,10992000,1.31,1.3,1.3,
2010-08-31,1.31,1.32,1.29,1.3,3016500,1.32,1.3,1.29,
2010-09-01,1.31,1.38,1.31,1.36,7423500,1.32,1.31,1.29,
2010-09-02,1.36,1.42,1.35,1.4,7306500,1.34,1.32,1.29,
2010-09-03,1.39,1.42,1.38,1.4,6519000,1.36,1.34,1.29,
2010-09-07,1.37,1.4,1.37,1.37,3651000,1.37,1.34,1.3,
2010-09-08,1.38,1.4,1.37,1.39,4326000,1.39,1.35,1.3,
2010-09-09,1.4,1.4,1.38,1.38,5643000,1.39,1.36,1.31,
2010-09-10,1.38,1.4,1.32,1.34,5799000,1.38,1.36,1.32,
2010-09-13,1.39,1.39,1.37,1.38,5412000,1.37,1.37,1.33,
2010-09-14,1.37,1.44,1.37,1.41,9820500,1.38,1.37,1.34,
2010-09-15,1.4,1.47,1.39,1.47,10269000,1.4,1.39,1.34,
2010-09-16,1.48,1.54,1.39,1.4,40267500,1.4,1.39,1.35,
2010-09-17,1.4,1.42,1.32,1.35,17977500,1.4,1.39,1.36,
2010-09-20,1.38,1.42,1.34,1.4,14212500,1.4,1.39,1.36,
2010-09-21,1.39,1.44,1.38,1.38,11940000,1.4,1.39,1.37,
2010-09-22,1.39,1.4,1.32,1.32,14443500,1.37,1.38,1.37,1.33
2010-09-23,1.33,1.34,1.3,1.3,10021500,1.35,1.38,1.37,1.33
2010-09-24,1.33,1.35,1.31,1.34,8683500,1.35,1.38,1.37,1.32
2010-09-27,1.36,1.39,1.34,1.37,6279000,1.34,1.37,1.37,1.32
2010-09-28,1.4,1.43,1.38,1.43,18217500,1.35,1.38,1.38,1.32
2010-09-29,1.41,1.47,1.41,1.47,29539500,1.38,1.38,1.38,1.33
2010-09-30,1.47,1.48,1.35,1.36,32937000,1.39,1.37,1.38,1.34
2010-10-01,1.38,1.38,1.35,1.37,8965500,1.4,1.38,1.38,1.34
2010-10-04,1.36,1.41,1.35,1.4,9654000,1.41,1.37,1.38,1.34
2010-10-05,1.41,1.42,1.4,1.41,4980000,1.4,1.38,1.38,1.35
2010-10-06,1.4,1.42,1.35,1.36,4701000,1.38,1.38,1.38,1.35
2010-10-07,1.37,1.38,1.36,1.36,2115000,1.38,1.39,1.38,1.35
2010-10-08,1.36,1.39,1.36,1.36,4017000,1.38,1.39,1.38,1.35
2010-10-11,1.36,1.38,1.34,1.35,2568000,1.37,1.39,1.38,1.35
2010-10-12,1.35,1.35,1.34,1.35,3660000,1.36,1.38,1.38,1.35
2010-10-13,1.38,1.39,1.36,1.37,4773000,1.36,1.37,1.37,1.35
2010-10-14,1.4,1.4,1.36,1.38,4422000,1.36,1.37,1.37,1.35
2010-10-15,1.39,1.39,1.35,1.37,4270500,1.36,1.37,1.37,1.35
2010-10-18,1.37,1.38,1.35,1.35,2442000,1.36,1.37,1.37,1.35
2010-10-19,1.35,1.36,1.33,1.34,3678000,1.36,1.36,1.37,1.35
2010-10-20,1.34,1.38,1.34,1.38,4687500,1.36,1.36,1.37,1.35
2010-10-21,1.37,1.4,1.36,1.38,6256500,1.36,1.36,1.37,1.35
2010-10-22,1.38,1.4,1.37,1.38,2416500,1.37,1.36,1.38,1.35
2010-10-25,1.4,1.4,1.38,1.39,1777500,1.37,1.37,1.38,1.35
2010-10-26,1.39,1.46,1.37,1.42,9913500,1.39,1.38,1.38,1.35
2010-10-27,1.42,1.43,1.38,1.4,5347500,1.4,1.38,1.37,1.35
2010-10-28,1.43,1.43,1.4,1.41,3363000,1.4,1.38,1.38,1.35
2010-10-29,1.41,1.46,1.4,1.46,4209000,1.42,1.39,1.38,1.35
