조건,다음날상승확률(%),발생횟수,기준선대비(%p),평균수익(%)
"20아래 + 5%하락 + 5일-15%",80.0,30,28.9,4.51
"3%하락 + 5%하락 + 5일-15%",80.0,30,28.9,4.51
"5%하락 + 5일-15%",80.0,30,28.9,4.51
"5%하락 + 5일-15% + 이격-5",80.0,30,28.9,4.51
"3%하락 + 3일-10% + 5일-15%",79.4,34,28.3,4.34
"3%하락 + 60위 + 거래량1.5",79.2,48,28.1,1.50
"10일-20% + 3%하락 + 고변동5",77.1,35,26.0,3.58
"3일-10% + 5일-15% + 고변동5",76.7,43,25.6,3.67
"20아래 + 5_20하향 + 종가하락3",76.7,30,25.6,2.77
"5_20하향 + 종가하락2 + 종가하락3",76.7,30,25.6,2.77
"5_20하향 + 종가하락3",76.7,30,25.6,2.77
"3일-10% + 5일-15% + 이격-5",76.6,47,25.5,3.27
"5%하락 + 거래량1.5 + 종가하락2",76.2,42,25.1,1.85
"3%하락 + 5일-15% + 이격-10",76.2,42,25.1,3.53
"10일-20% + 20아래 + 3%하락",75.7,37,24.6,3.40
"10일-20% + 3%하락",75.7,37,24.6,3.40
"10일-20% + 3%하락 + 이격-5",75.7,37,24.6,3.40
"20아래 + 3%하락 + 5일-15%",75.6,45,24.5,3.44
"3%하락 + 5일-15%",75.6,45,24.5,3.44
"3%하락 + 5일-15% + 이격-5",75.6,45,24.5,3.44
"20아래 + 3일-10% + 5일-15%",75.0,48,23.9,2.93
"3%하락 + 5일-15% + 60아래",75.0,40,23.9,3.19
"3%하락 + 5일-15% + 음봉1",75.0,44,23.9,3.38
"3%하락 + 5일-15% + 종가하락2",75.0,32,23.9,3.02
"3일-10% + 5일-15%",75.0,48,23.9,2.93
"3일-10% + 5일-15% + 이격-10",75.0,44,23.9,3.27
"10일-20% + 3%하락 + 이격-10",75.0,36,23.9,3.27
"3일-10% + 5일-15% + 60아래",74.4,39,23.3,2.90
"20위 + 5_10상향 + 음봉1",74.3,35,23.2,2.19
"10일-20% + 3%하락 + 60아래",74.3,35,23.2,3.18
"10일-20% + 3%하락 + RSI과매도30",74.2,31,23.1,2.72
"3%하락 + 5일-15% + 고변동5",73.8,42,22.7,3.62
"10일-20% + 3%하락 + 음봉1",73.5,34,22.4,3.42
"5_20하향 + 갭하락1",73.3,30,22.2,2.12
"20저점 + 음봉4 + 종가하락2",73.3,30,22.2,1.55
"10일-20% + 20아래 + 3일-10%",73.3,30,22.2,3.41
"10일-20% + 3일-10%",73.3,30,22.2,3.41
"10일-20% + 3일-10% + 고변동5",73.3,30,22.2,3.41
"10일-20% + 3일-10% + 이격-5",73.3,30,22.2,3.41
"60위 + 거래량2 + 음봉1",73.0,37,21.9,2.37
"3일-10% + 5%하락 + 거래량1.5",73.0,37,21.9,1.86
"3일-10% + 5일-15% + RSI과매도30",72.7,33,21.6,2.44
"3일+10% + 음봉1 + 이격+5",72.5,40,21.4,2.54
"3일-10% + 5%하락 + RSI과매도30",72.2,36,21.1,2.60
"5일-15% + 이격-10 + 종가하락2",72.2,36,21.1,2.23
"갭하락2 + 거래량1.5 + 종가하락2",72.1,43,21.0,1.55
"10일+20% + 갭하락1 + 고변동5",71.9,32,20.8,1.84
"3%하락 + 5일-15% + 음봉2",71.9,32,20.8,2.68
"5일-15% + 갭하락1 + 이격-5",71.9,32,20.8,2.46
"5일-15% + 이격-5 + 종가하락3",71.9,32,20.8,2.38
"10일-20% + 20아래 + 고변동8",71.9,32,20.8,3.23
"10일-20% + 고변동5 + 고변동8",71.9,32,20.8,3.23
"10일-20% + 고변동8",71.9,32,20.8,3.23
"10일-20% + 고변동8 + 이격-10",71.9,32,20.8,3.23
"10일-20% + 고변동8 + 이격-5",71.9,32,20.8,3.23
"5%하락 + 거래량1.5 + 이격-10",71.8,39,20.7,1.08
"3일-10% + 5일-15% + 음봉1",71.8,39,20.7,2.47
"5일-15% + 이격-5 + 종가하락2",71.8,39,20.7,2.23
"10일-20% + 고변동5 + 음봉1",71.8,39,20.7,2.88
"5일-15% + 60아래 + 음봉1",71.7,46,20.6,2.15
"20아래 + 5일-15% + 고변동5",71.7,60,20.6,2.64
"5일-15% + 고변동5",71.7,60,20.6,2.64
"5일-15% + 고변동5 + 이격-5",71.7,60,20.6,2.64
"3일-10% + 5%하락 + 종가하락2",71.4,56,20.3,2.42
"RSI과매도30 + 거래량1.5 + 종가하락2",71.4,35,20.3,0.84
"5일-15% + 고변동5 + 종가하락2",71.4,35,20.3,2.61
"10일+20% + 갭하락1 + 양봉1",71.4,35,20.3,1.80
"20아래 + 5일-15% + 이격-5",71.2,66,20.1,2.33
"5일-15% + 이격-5",71.2,66,20.1,2.33
"거래량1.5 + 음봉1 + 이격+5",71.2,52,20.1,2.24
"5일-15% + 음봉1 + 이격-5",71.2,52,20.1,2.09
"5_10상향 + 60위 + 음봉1",71.1,38,20.0,1.31
"5%하락 + RSI과매도30 + 종가하락2",71.1,38,20.0,1.91
"20아래 + 5일-15% + 고변동8",71.0,31,19.9,3.77
"5일-15% + 고변동5 + 고변동8",71.0,31,19.9,3.77
"5일-15% + 고변동8",71.0,31,19.9,3.77
"5일-15% + 고변동8 + 이격-5",71.0,31,19.9,3.77
"3%하락 + 5일-15% + RSI과매도30",71.0,31,19.9,2.98
"10일-20% + 60아래 + 고변동8",71.0,31,19.9,3.14
"5일-15% + 60아래 + 이격-10",70.9,55,19.8,2.31
"5일-15% + 고변동5 + 이격-10",70.9,55,19.8,2.73
"3일-10% + 5%하락 + 이격-10",70.8,48,19.7,2.44
"5일-15% + 고변동5 + 음봉1",70.8,48,19.7,2.36
"5일-15% + 음봉1 + 이격-10",70.8,48,19.7,2.12
"60아래 + 고변동5 + 종가하락4",70.8,48,19.7,1.79
"20아래 + 5_20하향 + 이격-5",70.6,34,19.5,2.43
"5_20하향 + 이격-5",70.6,34,19.5,2.43
"3일-10% + RSI과매도30 + 거래량1.5",70.6,34,19.5,1.50
"5%하락 + RSI과매도30 + 거래량1.5",70.6,34,19.5,1.34
"3일-10% + 5일-15% + 종가하락2",70.6,34,19.5,2.08
"5일-15% + 60아래 + 고변동5",70.6,51,19.5,2.54
"5일-15% + 60아래 + 종가하락2",70.6,34,19.5,1.74
"20아래 + 5일-15% + 이격-10",70.5,61,19.4,2.39
"5일-15% + 이격-10",70.5,61,19.4,2.39
"5일-15% + 이격-10 + 이격-5",70.5,61,19.4,2.39
"3%하락 + 3일-10% + 거래량1.5",70.5,44,19.4,1.62
"20아래 + 5일-15% + 60아래",70.2,57,19.1,2.20
"5일-15% + 60아래",70.2,57,19.1,2.20
"5일-15% + 60아래 + 이격-5",70.2,57,19.1,2.20
"5일-15% + 갭하락1 + 이격-10",70.0,30,18.9,2.30
"5일-15% + 고변동8 + 이격-10",70.0,30,18.9,3.88
"7%하락 + 거래량1.5 + 종가하락2",70.0,30,18.9,1.68
"갭하락2 + 거래량1.5 + 음봉2",70.0,30,18.9,1.11
"5일-15% + 이격-10 + 종가하락3",70.0,30,18.9,2.22
"5%하락 + 갭하락2 + 종가하락3",70.0,30,18.9,1.50
"3일-10% + 5%하락 + 종가하락3",69.8,43,18.7,2.32
"10일-20% + 20아래 + 음봉1",69.8,43,18.7,2.42
"10일-20% + RSI과매도30 + 고변동5",69.8,43,18.7,2.28
"10일-20% + 음봉1",69.8,43,18.7,2.42
"10일-20% + 음봉1 + 이격-5",69.8,43,18.7,2.42
"20아래 + 5일-15% + 종가하락3",69.7,33,18.6,1.92
"5일-15% + 종가하락2 + 종가하락3",69.7,33,18.6,1.92
"5일-15% + 종가하락3",69.7,33,18.6,1.92
"3%하락 + 5%하락 + 종가하락3",69.6,56,18.5,1.86
"5%하락 + 종가하락2 + 종가하락3",69.6,56,18.5,1.86
"5%하락 + 종가하락3",69.6,56,18.5,1.86
"5%하락 + 갭하락2 + 종가하락2",69.6,56,18.5,1.76
"3%하락 + 3일-10% + 이격-10",69.2,65,18.1,2.03
"5%하락 + 거래량1.5 + 음봉2",69.2,39,18.1,1.75
"거래량1.5 + 고변동5 + 종가하락3",69.2,39,18.1,1.19
"20아래 + 5일-15%",69.1,68,18.0,2.05
"5일-15%",69.1,68,18.0,2.05
"10일-20% + 60아래 + 음봉1",69.0,42,17.9,2.29
"10일-20% + 음봉1 + 이격-10",69.0,42,17.9,2.29
"20위 + 3일+10% + 음봉1",68.9,45,17.8,2.19
"10일+20% + 고변동5 + 음봉1",68.9,45,17.8,1.23
"3일-10% + 거래량1.5 + 종가하락2",68.9,45,17.8,1.33
"5%하락 + 60아래 + 종가하락3",68.9,45,17.8,1.55
"5_20하향 + 음봉2 + 종가하락2",68.8,32,17.7,1.03
"3일+10% + 고변동5 + 음봉1",68.8,32,17.7,1.44
"5_10상향 + 60위 + 종가상승3",68.8,32,17.7,1.11
"5%하락 + RSI과매도30 + 갭하락2",68.8,32,17.7,1.77
"20아래 + RSI과매도20 + 고변동5",68.8,32,17.7,1.22
"60아래 + RSI과매도20 + 고변동5",68.8,32,17.7,1.22
"RSI과매도20 + RSI과매도30 + 고변동5",68.8,32,17.7,1.22
"RSI과매도20 + 고변동5",68.8,32,17.7,1.22
"RSI과매도20 + 고변동5 + 이격-5",68.8,32,17.7,1.22
"RSI과매도30 + 고변동5 + 종가하락3",68.6,51,17.5,0.80
"10일-20% + 20아래 + RSI과매도30",68.6,51,17.5,1.63
"10일-20% + 20아래 + 고변동5",68.6,51,17.5,2.65
"10일-20% + RSI과매도30",68.6,51,17.5,1.63
"10일-20% + RSI과매도30 + 이격-10",68.6,51,17.5,1.63
"10일-20% + RSI과매도30 + 이격-5",68.6,51,17.5,1.63
"10일-20% + 고변동5",68.6,51,17.5,2.65
"10일-20% + 고변동5 + 이격-5",68.6,51,17.5,2.65
"3%하락 + RSI과매수70 + 음봉1",68.6,35,17.5,0.47
"5%하락 + 60위 + 종가하락2",68.6,35,17.5,2.32
"3%하락 + 고변동8 + 종가하락3",68.6,35,17.5,2.22
"20아래 + 5%하락 + 종가하락3",68.5,54,17.4,1.80
"RSI과매도30 + 거래량1.5 + 이격-10",68.5,54,17.4,1.25
"20아래 + 5일-15% + 음봉1",68.5,54,17.4,1.74
"5일-15% + 음봉1",68.5,54,17.4,1.74
"3%하락 + 고변동5 + 종가하락4",68.4,38,17.3,1.93
"10일-20% + RSI과매도30 + 음봉1",68.4,38,17.3,1.72
"10일+20% + RSI과매수70 + 갭하락1",68.3,41,17.2,1.71
"20아래 + 5일-15% + 종가하락2",68.3,41,17.2,1.76
"3일-10% + 갭하락2 + 이격-10",68.3,41,17.2,1.72
"5일-15% + 종가하락2",68.3,41,17.2,1.76
"5일-15% + 60아래 + RSI과매도30",68.3,41,17.2,2.08
"5일-15% + RSI과매도30 + 고변동5",68.3,41,17.2,2.05
"5%하락 + 60위 + 고변동5",68.3,63,17.2,1.50
"고변동5 + 종가하락2 + 종가하락4",68.3,63,17.2,1.77
"고변동5 + 종가하락3 + 종가하락4",68.3,63,17.2,1.77
"고변동5 + 종가하락4",68.3,63,17.2,1.77
"20아래 + 5_20하향 + 종가하락2",68.2,44,17.1,1.77
"5_20하향 + 종가하락2",68.2,44,17.1,1.77
"20아래 + 5일-15% + RSI과매도30",68.2,44,17.1,1.90
"5일-15% + RSI과매도30",68.2,44,17.1,1.90
"5일-15% + RSI과매도30 + 이격-10",68.2,44,17.1,1.90
"5일-15% + RSI과매도30 + 이격-5",68.2,44,17.1,1.90
"3%하락 + 3일-10% + RSI과매도30",68.1,47,17.0,1.57
"3%하락 + 거래량1.5 + 이격-10",68.1,47,17.0,0.72
"3일-10% + 5%하락 + 음봉2",68.0,50,16.9,2.68
"3일-10% + 거래량1.5 + 고변동5",68.0,50,16.9,1.89
"5%하락 + RSI과매도30 + 이격-10",68.0,50,16.9,2.12
"갭하락1 + 양봉1 + 종가하락3",68.0,50,16.9,1.67
"10일-20% + 60아래 + RSI과매도30",68.0,50,16.9,1.54
"10일-20% + 고변동5 + 이격-10",68.0,50,16.9,2.54
"20아래 + 거래량2 + 음봉2",67.7,31,16.6,2.06
"20아래 + 거래량2 + 종가하락2",67.7,31,16.6,1.92
"3일-10% + 갭하락2 + 거래량1.5",67.7,31,16.6,1.45
"3%상승 + 5_10상향 + 종가상승2",67.7,31,16.6,1.04
"3%하락 + 이격-10 + 종가하락3",67.7,65,16.6,1.44
"3일+10% + 음봉1 + 이격+10",67.6,34,16.5,1.85
"3%하락 + 3일-10% + 5%하락",67.6,68,16.5,2.45
"3일-10% + 5%하락",67.6,68,16.5,2.45
"20아래 + 5일-15% + 갭하락1",67.6,34,16.5,1.88
"5일-15% + 갭하락1",67.6,34,16.5,1.88
"갭하락2 + 거래량1.5 + 이격-10",67.6,34,16.5,1.23
"20위 + 3%하락 + RSI과매수70",67.6,37,16.5,0.22
"3%하락 + RSI과매수70",67.6,37,16.5,0.22
"3%하락 + RSI과매수70 + 이격+5",67.6,37,16.5,0.22
"5%하락 + 이격-10 + 종가하락3",67.6,37,16.5,1.88
"20저점 + 음봉4 + 이격-5",67.6,37,16.5,1.14
"3일-10% + 5%하락 + 갭하락2",67.5,40,16.4,1.93
"20아래 + 5_10하향 + 종가하락3",67.5,40,16.4,0.80
"20아래 + 20저점 + 음봉4",67.5,40,16.4,1.14
"20저점 + 음봉1 + 음봉4",67.5,40,16.4,1.14
"20저점 + 음봉2 + 음봉4",67.5,40,16.4,1.14
"20저점 + 음봉3 + 음봉4",67.5,40,16.4,1.14
"20저점 + 음봉4",67.5,40,16.4,1.14
"10일+20% + 갭하락1 + 이격+10",67.4,46,16.3,1.68
"5%하락 + 고변동5 + 종가하락3",67.3,49,16.2,1.88
"10일-20% + 60아래 + 고변동5",67.3,49,16.2,2.47
"5%하락 + 음봉1 + 종가하락3",67.3,52,16.2,1.71
"5%하락 + 이격-5 + 종가하락3",67.3,52,16.2,1.69
"고변동5 + 음봉1 + 종가하락4",67.3,55,16.2,1.52
"고변동5 + 이격-5 + 종가하락4",67.3,55,16.2,1.76
"3일-10% + 5%하락 + 고변동5",67.2,64,16.1,2.51
"3%하락 + 5%하락 + 거래량1.5",67.1,82,16.0,1.13
"5%하락 + 거래량1.5",67.1,82,16.0,1.13
"5_20하향 + 음봉1 + 종가하락2",66.7,36,15.6,1.42
"20아래 + 5%하락 + 60위",66.7,33,15.6,1.37
"10일+20% + 갭하락1 + 이격+5",66.7,48,15.6,1.67
"3%하락 + 60위 + RSI과매수70",66.7,36,15.6,0.19
"3%하락 + 갭하락2 + 거래량1.5",66.7,63,15.6,0.83
"10일+20% + 50고점 + 갭상승1",66.7,30,15.6,1.00
"20위 + 5%하락 + 고변동5",66.7,42,15.6,1.21
"20아래 + 고변동5 + 종가하락4",66.7,60,15.6,1.67
"3%하락 + 3일-10% + 종가하락4",66.7,30,15.6,2.16
"3일-10% + 60위 + 고변동5",66.7,33,15.6,1.55
"고변동5 + 음봉2 + 종가하락4",66.7,48,15.6,1.23
"20아래 + 3일-10% + 5%하락",66.7,63,15.6,2.53
"3%하락 + 이격-5 + 종가하락4",66.7,48,15.6,1.47
"3일-10% + RSI과매도30 + 종가하락2",66.7,45,15.6,0.70
"5%하락 + 이격-10 + 종가하락2",66.7,51,15.6,1.58
"RSI과매도30 + 거래량1.5 + 음봉2",66.7,33,15.6,0.67
"거래량1.5 + 고변동8 + 종가하락2",66.7,33,15.6,1.34
"거래량1.5 + 이격-10 + 종가하락3",66.7,33,15.6,0.68
"고변동5 + 고변동8 + 종가하락3",66.7,42,15.6,1.88
"고변동8 + 이격-10 + 종가하락3",66.7,36,15.6,2.01
"고변동8 + 종가하락2 + 종가하락3",66.7,42,15.6,1.88
"고변동8 + 종가하락3",66.7,42,15.6,1.88
"5_10상향 + 종가상승2 + 종가상승3",66.7,51,15.6,1.34
"5_10상향 + 종가상승3",66.7,51,15.6,1.34
"3일-10% + 7%하락 + 거래량1.5",66.7,30,15.6,1.84
"5일-15% + 60아래 + 음봉2",66.7,33,15.6,1.31
"거래량2 + 고변동5 + 음봉2",66.7,30,15.6,2.56
"3일-10% + 5일-15% + 종가하락3",66.7,30,15.6,2.00
"5일-15% + RSI과매도30 + 음봉1",66.7,36,15.6,1.48
"5일-15% + 음봉1 + 종가하락3",66.7,30,15.6,1.34
"20위 + 5_10상향 + 종가상승3",66.7,42,15.6,1.57
"3%상승 + 5_10상향 + 60위",66.7,30,15.6,0.46
"RSI과매도30 + 갭상승1 + 고변동5",66.7,36,15.6,1.33
"10일-20% + 20아래 + 종가하락2",66.7,30,15.6,0.96
"10일-20% + 이격-5 + 종가하락2",66.7,30,15.6,0.96
"10일-20% + 종가하락2",66.7,30,15.6,0.96
"60아래 + 고변동5 + 종가하락3",66.3,101,15.2,1.03
"5%하락 + 거래량1.5 + 고변동5",66.2,71,15.1,1.21
"3일-10% + 5%하락 + 음봉1",66.2,65,15.1,2.45
"3일-10% + 5%하락 + 60아래",66.0,50,14.9,2.23
"10일+20% + 3%상승 + 종가상승3",66.0,47,14.9,1.06
"3%하락 + 음봉4 + 종가하락2",66.0,47,14.9,1.60
"3일-10% + 거래량1.5 + 이격-10",66.0,47,14.9,1.11
"3%하락 + 고변동5 + 종가하락3",65.9,91,14.8,1.46
"5_10하향 + 종가하락2 + 종가하락3",65.9,44,14.8,0.68
"5_10하향 + 종가하락3",65.9,44,14.8,0.68
"고변동8 + 이격-10 + 종가하락2",65.9,44,14.8,1.98
"갭상승1 + 고변동5 + 이격-10",65.9,44,14.8,2.02
"20아래 + 고변동8 + 종가하락3",65.9,41,14.8,1.82
"고변동8 + 이격-5 + 종가하락3",65.9,41,14.8,1.82
"5%하락 + 거래량1.5 + 음봉1",65.8,76,14.7,1.02
"3일-10% + 5%하락 + 고변동8",65.8,38,14.7,2.63
"3일-10% + 7%하락 + 종가하락2",65.8,38,14.7,1.94
"3일-10% + 거래량1.5 + 종가하락3",65.7,35,14.6,0.75
"60위 + 거래량1.5 + 음봉2",65.7,35,14.6,3.25
"거래량1.5 + 고변동5 + 종가하락2",65.7,70,14.6,1.18
"60위 + 거래량1.5 + 음봉1",65.6,96,14.5,1.31
"3일-10% + 5일-15% + 음봉2",65.6,32,14.5,1.21
"20저점 + 3일-10% + 이격-10",65.6,32,14.5,1.89
"60아래 + 갭상승1 + 이격+5",65.6,32,14.5,1.17
"3일-10% + 5%하락 + 이격-5",65.6,61,14.5,2.35
"10일-20%",65.6,61,14.5,1.66
"10일-20% + 20아래",65.6,61,14.5,1.66
"10일-20% + 20아래 + 이격-5",65.6,61,14.5,1.66
"10일-20% + 이격-5",65.6,61,14.5,1.66
"10일-20% + 20아래 + 60아래",65.5,58,14.4,1.73
"10일-20% + 60아래",65.5,58,14.4,1.73
"10일-20% + 60아래 + 이격-10",65.5,58,14.4,1.73
"10일-20% + 60아래 + 이격-5",65.5,58,14.4,1.73
"60아래 + 음봉4 + 종가하락4",65.5,55,14.4,0.78
"10일+20% + 20위 + 갭하락1",65.3,49,14.2,1.43
"RSI과매수70 + 고변동5 + 음봉1",65.2,69,14.1,0.76
"3%하락 + 거래량1.5 + 종가하락2",65.2,69,14.1,0.91
"3일-10% + 이격-10 + 종가하락2",65.2,69,14.1,1.17
"RSI과매도30 + 거래량1.5 + 음봉1",65.2,46,14.1,0.61
"고변동5 + 이격-5 + 종가하락3",65.1,109,14.0,1.22
"5%하락 + 거래량1.5 + 고변동8",65.1,43,14.0,0.80
"3일+10% + 60위 + 음봉1",65.1,43,14.0,1.82
"5%상승 + 이격+10 + 종가상승3",65.1,43,14.0,0.99
"5%하락 + 고변동8 + 종가하락2",65.1,43,14.0,2.21
"고변동5 + 음봉3 + 종가하락4",65.1,43,14.0,1.21
"20위 + 3%상승 + 5_10상향",65.1,43,14.0,0.83
"RSI과매도30 + 갭하락2 + 고변동5",65.1,43,14.0,1.46
"RSI과매수70 + 음봉1 + 종가하락2",65.0,40,13.9,0.68
"고변동5 + 음봉4 + 종가하락4",65.0,40,13.9,1.26
"20아래 + 고변동8 + 종가하락2",65.0,60,13.9,1.71
"3일-10% + 5%하락 + 음봉3",65.0,40,13.9,2.15
"3일-10% + RSI과매도30 + 종가하락3",65.0,40,13.9,0.64
"거래량1.5 + 거래량2 + 음봉2",65.0,40,13.9,2.31
"거래량2 + 음봉1 + 음봉2",65.0,40,13.9,2.31
"거래량2 + 음봉2",65.0,40,13.9,2.31
"10일-20% + 20아래 + 이격-10",65.0,60,13.9,1.55
"10일-20% + 이격-10",65.0,60,13.9,1.55
"10일-20% + 이격-10 + 이격-5",65.0,60,13.9,1.55
"3%하락 + RSI과매도30 + 갭하락2",65.0,40,13.9,1.35
"고변동5 + 종가하락2 + 종가하락3",65.0,137,13.9,1.20
"고변동5 + 종가하락3",65.0,137,13.9,1.20
"20위 + 거래량1.5 + 음봉1",64.9,77,13.8,1.58
"3%하락 + 고변동5 + 이격+5",64.9,57,13.8,0.39
"3%하락 + 고변동8 + 종가하락2",64.9,57,13.8,1.90
"20아래 + 5%하락 + RSI과매도30",64.9,57,13.8,1.97
"3%하락 + 5%하락 + RSI과매도30",64.9,57,13.8,1.97
"5%하락 + RSI과매도30",64.9,57,13.8,1.97
"5%하락 + RSI과매도30 + 이격-5",64.9,57,13.8,1.97
"5%상승 + RSI과매수70 + 종가상승3",64.9,37,13.8,1.57
"3일-10% + 음봉4 + 이격-5",64.9,37,13.8,0.93
"5%하락 + 음봉3 + 종가하락3",64.9,37,13.8,2.14
"5일-15% + 음봉1 + 종가하락2",64.9,37,13.8,1.17
"5일-15% + 음봉2 + 이격-5",64.9,37,13.8,1.13
"20저점 + 60아래 + 음봉4",64.9,37,13.8,0.85
"갭하락2 + 거래량1.5 + 음봉1",64.8,54,13.7,0.63
"5%하락 + RSI과매도30 + 고변동5",64.8,54,13.7,2.02
"거래량1.5 + 음봉1 + 이격-10",64.8,54,13.7,0.49
"20아래 + 고변동5 + 종가하락3",64.8,125,13.7,1.16
"20아래 + 5%하락 + 거래량1.5",64.7,68,13.6,0.88
"고변동5 + 음봉1 + 이격+5",64.7,119,13.6,0.81
"5%하락 + RSI과매도30 + 음봉2",64.7,34,13.6,2.14
"60아래 + 고변동8 + 종가하락3",64.7,34,13.6,1.55
"20저점 + 고변동5 + 종가하락3",64.7,34,13.6,1.30
"갭상승1 + 음봉4 + 이격-5",64.7,34,13.6,0.17
"갭상승1 + 음봉3 + 종가하락2",64.7,34,13.6,0.43
"20아래 + 3일-10% + RSI과매도30",64.6,65,13.5,1.03
"3일-10% + RSI과매도30",64.6,65,13.5,1.03
"3일-10% + RSI과매도30 + 이격-10",64.6,65,13.5,1.03
"3일-10% + RSI과매도30 + 이격-5",64.6,65,13.5,1.03
"고변동5 + 이격-10 + 종가하락3",64.6,65,13.5,1.33
"3%하락 + 음봉4 + 이격-5",64.6,48,13.5,1.39
"거래량1.5 + 이격-10 + 종가하락2",64.6,48,13.5,0.60
"20아래 + 60위 + 갭하락2",64.6,48,13.5,0.34
"5_10하향 + 60아래 + 종가하락2",64.6,48,13.5,0.71
"20아래 + 60위 + 거래량1.5",64.5,31,13.4,0.38
"5일+15% + 고변동5 + 음봉1",64.5,31,13.4,1.52
"RSI과매수70 + 음봉2 + 종가하락2",64.5,31,13.4,0.53
"3일-10% + 이격-10 + 종가하락3",64.5,62,13.4,1.21
"RSI과매도30 + 고변동8 + 종가하락2",64.5,31,13.4,0.97
"5_10하향 + 60아래 + 음봉3",64.5,31,13.4,1.03
"갭상승1 + 음봉2 + 종가하락3",64.5,31,13.4,-0.26
"3일-10% + 갭하락2 + 음봉3",64.5,31,13.4,0.93
"갭하락1 + 거래량1.5 + 종가하락3",64.5,31,13.4,0.64
"60아래 + 음봉1 + 이격+5",64.5,31,13.4,0.27
"3%하락 + 5%하락 + 60위",64.5,76,13.4,1.11
"5%하락 + 60위",64.5,76,13.4,1.11
"5_10상향 + 음봉1",64.5,76,13.4,1.35
"3%하락 + 3일-10% + 고변동5",64.4,90,13.3,1.89
"5%하락 + 음봉3 + 종가하락2",64.4,45,13.3,1.77
"3%하락 + 60아래 + 종가하락4",64.4,45,13.3,1.39
"3%하락 + 이격-5 + 종가하락3",64.4,104,13.3,1.35
"3%하락 + 이격-10 + 종가하락2",64.4,87,13.3,1.03
"RSI과매수70 + 이격+5 + 종가하락2",64.3,42,13.2,0.80
"3%하락 + RSI과매도30 + 거래량1.5",64.3,42,13.2,0.70
"고변동8 + 이격-5 + 종가하락2",64.3,56,13.2,1.67
"20아래 + 갭하락2 + 거래량1.5",64.2,67,13.1,0.88
"3일-10% + RSI과매도30 + 음봉1",64.2,53,13.1,0.88
"5%하락 + RSI과매도30 + 음봉1",64.2,53,13.1,1.85
"거래량1.5 + 음봉1 + 이격+10",64.1,39,13.0,1.94
"3%하락 + 거래량1.5 + 종가하락3",64.1,39,13.0,0.39
"갭하락2 + 고변동5 + 종가하락3",64.1,39,13.0,1.29
"RSI과매도30 + 갭하락2 + 음봉1",64.1,39,13.0,1.10
"갭하락1 + 종가하락2 + 종가하락4",64.1,64,13.0,0.85
"갭하락1 + 종가하락3 + 종가하락4",64.1,64,13.0,0.85
"갭하락1 + 종가하락4",64.1,64,13.0,0.85
"10일+20% + 갭하락1",64.0,50,12.9,1.29
"3일-10% + 음봉1 + 이격-10",64.0,75,12.9,1.32
"3일-10% + 60아래 + RSI과매도30",63.9,61,12.8,0.90
"3일-10% + 거래량1.5 + 음봉2",63.9,36,12.8,1.39
"3일-10% + 이격-5 + 종가하락4",63.9,36,12.8,2.07
"고변동8 + 음봉1 + 종가하락3",63.9,36,12.8,1.63
"3일-10% + RSI과매도30 + 갭하락1",63.9,36,12.8,0.79
"3%상승 + 갭상승1 + 음봉1",63.9,36,12.8,2.14
"3%상승 + 갭상승2 + 음봉1",63.9,36,12.8,2.14
"3%상승 + 음봉1",63.9,36,12.8,2.14
"10일+20% + 60위 + 갭하락1",63.8,47,12.7,1.15
"20아래 + 3일-10% + 이격-10",63.8,94,12.7,1.44
"3일-10% + 이격-10",63.8,94,12.7,1.44
"3일-10% + 이격-10 + 이격-5",63.8,94,12.7,1.44
