순위,조건,다음날상승확률(%),발생횟수,기준선대비(%p),평균수익(%),검증결과메모
1,"거래량1.5 + 음봉1",60.4,197,9.3,0.91,
2,"10일+20% + RSI과매수70 + 양봉1",59.6,151,8.5,0.99,
3,"3%하락 + 이격-5 + 종가하락2",59.5,158,8.4,0.88,
4,"20아래 + RSI과매도30 + 고변동5",59.5,153,8.4,0.72,
5,"RSI과매도30 + 고변동5",59.5,153,8.4,0.72,
6,"RSI과매도30 + 고변동5 + 이격-5",59.5,153,8.4,0.72,
7,"20위 + 고변동5 + 음봉1",59.5,185,8.4,0.71,
8,"종가하락2 + 종가하락3 + 종가하락4",59.4,165,8.3,0.86,
9,"종가하락2 + 종가하락4",59.4,165,8.3,0.86,
10,"종가하락3 + 종가하락4",59.4,165,8.3,0.86,
11,"종가하락4",59.4,165,8.3,0.86,
12,"10일+20% + 20위 + RSI과매수70",59.2,228,8.1,0.98,
13,"10일+20% + RSI과매수70",59.2,228,8.1,0.98,
14,"10일+20% + RSI과매수70 + 이격+5",59.2,228,8.1,0.98,
15,"3%하락 + 고변동5 + 종가하락2",59.1,176,8.0,0.98,
16,"10일+20% + 20위 + 양봉1",59.1,171,8.0,0.84,
17,"10일+20% + 양봉1 + 이격+5",59.1,171,8.0,0.84,
18,"고변동5 + 이격-5 + 종가하락2",59.1,171,8.0,0.66,
19,"10일+20% + RSI과매수70 + 이격+10",59.0,227,7.9,0.98,
20,"10일+20% + 60위 + RSI과매수70",59.0,222,7.9,0.92,
21,"3%하락 + 60위 + 음봉1",58.8,216,7.7,0.53,
22,"3%하락 + 60위",58.8,228,7.7,0.52,
23,"10일+20% + 양봉1",58.7,172,7.6,0.79,
24,"10일+20% + 20위 + 이격+5",58.7,264,7.6,0.88,
25,"10일+20% + 이격+5",58.7,264,7.6,0.88,
26,"10일+20% + 20위 + 이격+10",58.5,253,7.4,0.86,
27,"10일+20% + 이격+10",58.5,253,7.4,0.86,
28,"10일+20% + 이격+10 + 이격+5",58.5,253,7.4,0.86,
29,"10일+20% + 20위",58.5,265,7.4,0.84,
30,"10일+20% + 양봉1 + 이격+10",58.3,168,7.2,0.76,
31,"60아래 + 고변동5 + 종가하락2",58.2,170,7.1,0.43,
32,"60아래 + 음봉2 + 종가하락3",58.1,179,7.0,0.24,
33,"10일+20%",58.1,267,7.0,0.78,
34,"10일+20% + 60위 + 이격+10",58.0,243,6.9,0.82,
35,"20아래 + 고변동5 + 이격-10",58.0,181,6.9,0.83,
36,"고변동5 + 이격-10",58.0,181,6.9,0.83,
37,"고변동5 + 이격-10 + 이격-5",58.0,181,6.9,0.83,
38,"10일+20% + 60위 + 이격+5",58.0,250,6.9,0.80,
39,"RSI과매수70 + 음봉1 + 이격+10",58.0,150,6.9,0.61,
40,"60아래 + 음봉1 + 종가하락3",57.9,214,6.8,0.51,
41,"60아래 + 고변동5 + 이격-10",57.8,166,6.7,0.80,
42,"20아래 + 60아래 + 종가하락3",57.8,244,6.7,0.55,
43,"고변동5 + 종가하락2",57.8,270,6.7,0.57,
44,"10일+20% + 20위 + 60위",57.8,251,6.7,0.76,
45,"10일+20% + 60위",57.8,251,6.7,0.76,
46,"60아래 + 종가하락2 + 종가하락3",57.7,253,6.6,0.57,
47,"60아래 + 종가하락3",57.7,253,6.6,0.57,
48,"60위 + 고변동5 + 음봉1",57.6,243,6.5,0.40,
49,"3%하락 + 종가하락2",57.6,276,6.5,0.77,
50,"RSI과매수70 + 음봉1 + 이격+5",57.6,238,6.5,0.36,
51,"10일+20% + 60위 + 양봉1",57.5,160,6.4,0.68,
52,"갭하락1 + 종가하락2 + 종가하락3",57.3,150,6.2,0.53,
53,"갭하락1 + 종가하락3",57.3,150,6.2,0.53,
54,"20위 + 3%하락",57.3,157,6.2,0.29,
55,"음봉1 + 종가상승2",57.3,192,6.2,0.82,
56,"3일-10%",57.2,159,6.1,0.94,
57,"고변동5 + 음봉1 + 종가하락2",57.2,236,6.1,0.57,
58,"60위 + RSI과매수70 + 음봉1",57.2,257,6.1,0.41,
59,"20위 + RSI과매수70 + 음봉1",57.2,271,6.1,0.33,
60,"RSI과매수70 + 음봉1",57.2,271,6.1,0.33,
61,"20위 + 음봉1 + 이격+10",57.1,182,6.0,0.71,
62,"음봉1 + 이격+10",57.1,182,6.0,0.71,
63,"음봉1 + 이격+10 + 이격+5",57.1,182,6.0,0.71,
64,"20아래 + 3%하락 + 종가하락2",57.1,226,6.0,0.76,
